,state,total_charge,international_plan,voice_mail_plan,number_customer_service_calls,churn
1464,ND,53.910000000000004,no,yes,0,no
1465,MN,72.39,no,no,3,no
1466,HI,35.77,no,no,1,no
1467,ND,72.19,no,no,1,no
1468,WI,73.46000000000001,no,yes,0,no
1469,MN,61.34,no,no,0,no
1470,KS,50.58,no,no,1,no
1471,ME,45.41,no,no,1,yes
1472,WY,61.82,no,no,1,no
1473,NY,49.78,yes,no,0,yes
1474,VT,52.239999999999995,no,no,2,no
1475,NC,60.83,yes,no,2,yes
1476,MO,47.93,yes,yes,1,no
1477,NC,41.92999999999999,yes,yes,1,no
1478,NJ,53.0,yes,no,2,no
1479,OH,65.00999999999999,no,no,0,no
1480,TX,64.08,no,yes,0,no
1481,TN,71.02999999999999,no,yes,1,no
1482,HI,53.8,no,no,0,no
1483,WY,59.28,no,yes,1,no
1484,CT,74.05,no,no,0,yes
1485,NM,47.089999999999996,no,no,4,yes
1486,NJ,50.589999999999996,no,no,2,no
1487,AL,50.55,no,yes,2,no
1488,MN,47.55,yes,no,2,yes
1489,NC,60.06,no,no,2,no
1490,ND,44.56,no,yes,2,no
1491,NY,68.55,no,no,1,no
1492,WI,76.62,no,yes,0,no
1493,WY,59.17,no,no,0,no
1494,OR,71.97,no,no,3,yes
1495,CO,44.16,no,yes,2,no
1496,LA,59.38,no,no,1,no
1497,AL,55.37,no,no,1,no
1498,TX,58.18,no,yes,1,no
1499,PA,57.830000000000005,no,no,1,no
1500,IL,43.919999999999995,no,yes,1,no
1501,DE,55.55,yes,no,0,yes
1502,MO,52.6,no,yes,2,no
1503,AR,52.75,no,no,0,no
1504,OH,62.580000000000005,no,yes,1,no
1505,WI,53.980000000000004,no,yes,1,no
1506,GA,50.019999999999996,no,no,0,no
1507,KY,59.51,no,no,2,no
1508,OH,49.67999999999999,no,no,1,no
1509,TN,49.61,no,no,0,no
1510,SD,63.28,no,no,1,no
1511,NY,76.86,no,no,1,yes
1512,GA,55.89,no,yes,1,no
1513,TX,45.58,no,no,1,no
1514,WV,50.900000000000006,no,yes,0,no
1515,ND,45.92999999999999,no,no,1,no
1516,SD,58.79,no,no,2,no
1517,AK,61.45,no,no,1,no
1518,CT,57.37,yes,no,0,yes
1519,CO,65.41,no,no,3,no
1520,MD,60.26,no,no,0,no
1521,ND,56.43,no,no,3,no
1522,NH,66.98,no,no,3,no
1523,MN,57.42999999999999,no,no,1,no
1524,KY,63.71,no,no,0,no
1525,NH,48.480000000000004,no,no,3,no
1526,CO,71.60000000000001,yes,no,1,no
1527,KY,54.209999999999994,no,no,0,no
1528,KY,57.25,no,no,0,no
1529,IN,57.300000000000004,no,yes,0,no
1530,OR,56.160000000000004,no,no,2,no
1531,SD,49.18,no,no,2,no
1532,DE,52.82,no,no,3,no
1533,NE,45.7,no,no,1,no
1534,OH,71.7,no,yes,1,no
1535,OH,49.93,no,no,2,no
1536,AR,67.32,no,yes,2,no
1537,KS,60.08,no,yes,1,no
1538,TX,61.870000000000005,no,no,3,no
1539,WI,56.03,no,no,3,no
1540,OR,54.74,no,no,2,no
1541,VA,50.370000000000005,no,no,2,no
1542,AR,60.64,no,yes,1,no
1543,CT,68.74,no,no,1,no
1544,OH,60.63999999999999,no,yes,7,no
1545,WY,57.480000000000004,no,no,1,no
1546,IL,67.11,no,no,2,no
1547,DC,56.51,no,yes,4,no
1548,MA,59.67999999999999,no,yes,0,no
1549,NH,42.71000000000001,yes,no,1,yes
1550,IA,59.09,no,yes,1,no
1551,AL,56.88999999999999,no,no,1,no
1552,OR,57.5,no,yes,2,no
1553,WV,49.38,no,yes,2,no
1554,WA,74.44,no,no,0,yes
1555,NV,54.15,no,no,2,no
1556,SC,53.22,no,yes,4,yes
1557,NC,63.23,yes,no,2,yes
1558,NH,52.379999999999995,no,yes,1,no
1559,WY,48.150000000000006,no,yes,2,no
1560,FL,47.64000000000001,yes,no,2,no
1561,PA,72.11,no,no,2,yes
1562,NC,58.64,no,yes,1,yes
1563,MO,50.82000000000001,no,no,5,yes
1564,KS,49.55,no,yes,1,no
1565,KY,60.81,no,no,0,no
1566,WI,34.75,no,no,2,no
1567,CO,61.120000000000005,no,no,1,no
1568,NM,73.32,no,no,1,yes
1569,IL,61.35,no,no,0,no
1570,WA,68.23,no,no,0,no
1571,MA,46.91,yes,yes,0,yes
1572,OH,72.75,yes,no,0,yes
1573,TN,57.0,yes,no,1,no
1574,MA,64.57000000000001,no,no,0,no
1575,MI,48.02,no,no,7,yes
1576,TX,45.08,no,no,2,yes
1577,NH,55.46,yes,yes,0,no
1578,MS,76.36,no,no,1,yes
1579,AZ,62.2,no,no,0,no
1580,IN,61.080000000000005,no,no,0,no
1581,NY,49.13,yes,no,2,no
1582,WI,61.14,no,yes,1,no
1583,WV,55.72,no,no,2,no
1584,NY,52.55,no,no,1,no
1585,OK,55.21,no,no,1,no
1586,NC,62.22,yes,no,1,no
1587,CT,51.76,no,no,4,yes
1588,NE,77.05,no,no,0,yes
1589,HI,62.260000000000005,yes,yes,2,no
1590,SC,49.66,no,yes,1,no
1591,AK,48.8,yes,yes,2,no
1592,SD,67.36,no,no,1,no
1593,ID,43.59,no,no,3,no
1594,OK,43.19,yes,yes,0,yes
1595,WA,60.35,no,no,2,no
1596,SD,45.72,no,no,1,yes
1597,OH,61.7,no,no,4,no
1598,VA,60.36,no,no,3,no
1599,WI,60.44,yes,no,0,yes
1600,IN,76.4,no,no,2,yes
1601,NM,45.550000000000004,no,no,3,no
1602,HI,57.08,no,yes,0,no
1603,KY,57.75,no,no,1,no
1604,OH,66.87,no,yes,1,no
1605,VT,73.08,no,no,2,yes
1606,AZ,44.870000000000005,no,yes,1,no
1607,VT,66.47,no,no,1,no
1608,MO,61.83,no,no,1,no
1609,AL,62.36,no,no,1,no
1610,NJ,57.23,yes,yes,1,yes
1611,WA,51.830000000000005,no,yes,4,yes
1612,NY,56.5,no,no,2,no
1613,DC,40.910000000000004,no,yes,1,no
1614,NE,62.09,no,yes,2,no
1615,MA,40.59,no,yes,2,no
1616,VT,67.6,no,yes,0,no
1617,NM,42.879999999999995,no,no,0,no
1618,CO,60.48,no,no,4,no
1619,NH,49.92,no,no,8,yes
1620,UT,43.48,no,yes,3,no
1621,WV,66.46000000000001,no,no,1,no
1622,NJ,52.02,no,no,1,no
1623,NM,54.53,no,no,2,no
1624,ND,57.38,no,no,1,no
1625,WA,40.76,no,no,6,yes
1626,DE,40.660000000000004,no,no,3,no
1627,GA,62.92,no,no,4,no
1628,HI,68.53,no,no,1,no
1629,ME,52.39,no,no,2,no
1630,OK,46.41,no,no,3,no
1631,TN,47.26,no,no,1,no
1632,WY,55.11,no,no,0,no
1633,NY,52.12,no,no,1,no
1634,DE,63.980000000000004,yes,no,1,no
1635,RI,59.85,no,no,1,no
1636,PA,76.33,no,no,1,yes
1637,HI,82.58,no,no,0,yes
1638,MD,47.33,yes,yes,3,yes
1639,VA,35.46,no,no,2,no
1640,IN,54.82,no,yes,1,no
1641,OR,49.31,no,yes,1,no
1642,AZ,49.19,no,no,2,yes
1643,WI,54.35,no,no,1,no
1644,MO,60.97,no,no,2,no
1645,NV,54.540000000000006,no,no,0,no
1646,HI,56.85,no,yes,1,no
1647,WA,65.88,no,no,1,no
1648,IL,57.519999999999996,no,no,1,no
1649,IL,60.01,no,no,0,no
1650,LA,57.39,no,no,1,no
1651,WI,57.730000000000004,no,no,0,no
1652,TX,45.61,no,no,4,yes
1653,MI,43.93000000000001,yes,yes,1,no
1654,WA,64.62,no,no,0,no
1655,ND,72.82,no,no,0,yes
1656,NE,62.21000000000001,no,no,0,no
1657,MS,58.6,no,yes,3,no
1658,KY,60.56,no,no,1,no
1659,RI,39.42,no,no,3,no
1660,NY,64.39,no,yes,2,no
1661,TX,36.86,no,no,0,no
1662,DE,48.42999999999999,no,no,3,no
1663,RI,42.55,no,no,0,no
1664,MS,54.379999999999995,no,no,1,no
1665,NY,64.21,no,no,1,yes
1666,NE,55.06,no,no,1,no
1667,WI,50.7,no,no,3,no
1668,SD,50.59,no,yes,1,no
1669,VA,56.0,no,no,5,no
1670,KS,66.64,no,yes,1,no
1671,ND,53.449999999999996,no,no,2,no
1672,CO,75.24000000000001,no,yes,5,no
1673,KY,52.78,no,yes,5,yes
1674,WA,44.38,no,no,2,no
1675,SC,65.74,yes,no,2,yes
1676,RI,56.38,yes,no,3,yes
1677,ID,61.89,no,no,1,no
1678,ME,50.8,no,no,1,no
1679,SD,58.26,no,no,0,no
1680,SC,53.669999999999995,no,yes,3,no
1681,TN,72.71,no,no,3,yes
1682,MT,47.720000000000006,no,yes,2,no
1683,WI,19.98,no,no,0,no
1684,AK,47.57,no,no,0,no
1685,AZ,50.870000000000005,no,no,1,no
1686,MT,57.06,no,yes,2,no
1687,MA,58.44,no,no,2,no
1688,IN,69.04,no,no,0,no
1689,MD,46.64,no,no,0,no
1690,NV,75.21000000000001,no,yes,1,no
1691,CO,64.37,no,no,1,no
1692,KS,63.74,no,no,3,no
1693,AR,40.64,no,no,2,no
1694,WY,37.75,no,no,0,no
1695,PA,50.989999999999995,no,no,3,no
1696,TX,73.47999999999999,no,no,1,yes
1697,NY,57.10999999999999,no,no,3,no
1698,OR,54.69,yes,no,1,no
1699,NY,48.93,no,no,1,no
1700,AR,55.81,no,yes,3,no
1701,MI,69.47,no,no,3,no
1702,OK,65.16,no,yes,3,no
1703,TX,45.89,no,no,0,no
1704,NC,41.81,no,no,0,no
1705,IL,48.980000000000004,no,no,1,no
1706,OR,56.89999999999999,no,no,2,no
1707,SD,54.24,no,no,3,no
1708,NE,63.64,no,no,0,no
1709,RI,64.51,no,no,3,no
1710,ID,58.67,no,yes,1,no
1711,NY,56.269999999999996,no,yes,1,no
1712,OK,51.870000000000005,no,no,1,no
1713,SC,51.809999999999995,no,yes,2,no
1714,IN,50.870000000000005,no,no,2,no
1715,NV,54.14,no,no,1,no
1716,IL,55.13,yes,yes,1,no
1717,SD,82.33,no,no,1,yes
1718,OK,50.64,yes,no,0,yes
1719,KS,64.95,no,yes,1,no
1720,IA,53.88,no,no,5,no
1721,NJ,52.64,no,no,2,no
1722,NJ,71.99,no,no,2,yes
1723,MT,57.2,no,no,1,no
1724,IA,68.8,no,no,3,no
1725,WA,62.15,no,no,3,no
1726,NE,41.81,no,no,1,no
1727,TX,76.91,no,no,1,yes
1728,MS,47.95,no,yes,1,no
1729,IA,42.08,no,yes,2,no
1730,MT,70.8,no,yes,1,no
1731,GA,44.82,no,no,3,no
1732,MT,55.129999999999995,yes,yes,0,no
1733,ND,65.99,no,no,4,no
1734,VT,53.019999999999996,no,no,1,no
1735,SD,60.36,no,no,3,no
1736,OH,52.480000000000004,no,yes,3,no
1737,OH,62.17999999999999,no,yes,2,no
1738,MT,57.5,no,no,1,no
1739,IL,70.28,yes,no,1,no
1740,NV,47.650000000000006,no,no,2,no
1741,NH,47.41,no,no,1,no
1742,VT,50.79,no,no,3,no
1743,NY,40.54,no,yes,2,no
1744,CT,69.79,no,no,0,no
1745,KS,73.82,no,no,3,yes
1746,MI,67.47999999999999,no,yes,0,no
1747,SD,69.81000000000002,no,yes,0,no
1748,MD,41.69,no,no,2,no
1749,VA,51.830000000000005,no,no,2,no
1750,NJ,58.459999999999994,no,no,1,no
1751,TN,60.48,no,yes,0,no
1752,DC,54.349999999999994,no,no,4,no
1753,DC,47.28,no,no,1,no
1754,OR,73.64,no,no,0,yes
1755,RI,54.86,no,no,1,no
1756,AK,68.61,no,no,2,no
1757,WI,46.769999999999996,no,no,3,no
1758,IN,58.24,no,no,1,no
1759,MI,56.8,no,no,2,no
1760,ID,54.47,no,yes,2,no
1761,NH,70.0,yes,no,4,yes
1762,MN,65.12,no,no,0,no
1763,AZ,41.309999999999995,no,no,1,no
1764,MN,67.5,no,no,2,no
1765,MO,70.22,no,no,0,no
1766,AL,47.14,no,no,1,no
1767,PA,64.26,no,yes,0,no
1768,AK,47.65,no,no,3,no
1769,MS,54.339999999999996,no,yes,2,no
1770,IA,46.269999999999996,no,no,1,no
1771,WY,51.39,no,no,1,no
1772,NE,55.31,no,no,4,no
1773,ND,59.05000000000001,no,no,2,no
1774,CT,61.379999999999995,no,no,1,no
1775,CT,57.470000000000006,no,no,2,no
1776,ND,58.58,no,no,2,no
1777,WA,61.099999999999994,no,no,0,no
1778,KS,54.580000000000005,no,yes,0,no
1779,CO,51.53999999999999,no,no,2,no
1780,MO,53.09,no,no,1,no
1781,MA,82.79999999999998,no,no,3,yes
1782,NY,30.38,no,yes,0,no
1783,AK,50.97,no,no,0,no
1784,WI,68.38,no,no,2,no
1785,NH,77.44999999999999,no,no,2,yes
1786,TN,43.080000000000005,no,no,2,no
1787,NY,67.96000000000001,no,no,0,no
1788,GA,61.26,yes,yes,0,yes
1789,MN,73.65,no,no,2,yes
1790,MI,50.169999999999995,no,no,0,no
1791,ID,54.02,no,yes,3,no
1792,CT,46.849999999999994,no,yes,2,no
1793,NC,43.25,no,no,0,no
1794,LA,48.269999999999996,no,no,4,yes
1795,NJ,81.93,no,no,2,yes
1796,TX,66.69,no,no,3,no
1797,MD,50.68,no,no,1,no
1798,WY,59.900000000000006,no,no,4,no
1799,TX,55.14,yes,no,0,yes
1800,CA,73.5,no,no,0,yes
1801,UT,54.989999999999995,no,no,1,no
1802,WA,45.44,no,no,1,no
1803,MS,78.89999999999999,no,yes,0,no
1804,OH,40.099999999999994,no,no,1,no
1805,KS,30.85,no,no,3,no
1806,IN,68.81,no,no,1,no
1807,VT,60.69,no,no,3,no
1808,MT,41.33,no,yes,2,no
1809,CT,59.02,no,yes,2,no
1810,NM,69.76,no,no,1,no
1811,OH,51.97,no,yes,1,no
1812,MN,60.81,no,yes,2,no
1813,CT,65.67999999999999,no,no,1,no
1814,AL,52.83,no,no,0,no
1815,WV,66.61999999999999,no,no,1,no
1816,NH,61.11,no,no,0,no
1817,WY,61.08,no,no,3,no
1818,VA,73.3,yes,no,3,yes
1819,VT,56.23,no,no,4,no
1820,OH,48.56999999999999,no,yes,2,no
1821,MT,40.870000000000005,no,no,1,yes
1822,VA,42.879999999999995,no,no,1,no
1823,NM,61.72,no,no,1,no
1824,AR,56.43,yes,no,0,no
1825,NE,72.24000000000001,no,no,3,yes
1826,WY,53.83,no,no,1,no
1827,IA,71.41,no,yes,0,no
1828,SC,72.46000000000001,no,no,2,yes
1829,NC,47.910000000000004,no,no,2,no
1830,HI,54.42,yes,yes,1,no
1831,UT,37.09,no,no,2,no
1832,WY,67.38000000000001,yes,no,2,no
1833,AL,75.28999999999999,no,no,2,yes
1834,VA,64.07000000000001,no,no,3,no
1835,WI,53.87,no,no,2,no
1836,FL,41.16,yes,no,0,yes
1837,KS,60.400000000000006,no,no,1,no
1838,NV,51.89,yes,no,1,yes
1839,NY,52.99,no,no,0,no
1840,VA,69.95,no,yes,1,no
1841,KS,71.53999999999999,no,no,1,no
1842,NC,69.5,yes,no,3,yes
1843,MO,57.81999999999999,no,no,2,no
1844,CA,51.0,no,no,1,no
1845,WV,51.78,no,no,1,no
1846,IL,57.18000000000001,no,no,0,no
1847,NY,60.82,no,no,0,no
1848,NV,58.269999999999996,no,no,1,no
1849,AL,61.25000000000001,no,no,0,no
1850,UT,56.23,no,no,2,no
1851,OH,58.26,no,no,2,no
1852,WY,45.760000000000005,no,no,0,no
1853,NM,36.57,no,yes,2,no
1854,AL,51.22,no,no,2,no
1855,DC,63.42999999999999,no,yes,1,no
1856,AR,57.010000000000005,no,no,3,no
1857,ID,62.19,no,yes,1,no
1858,TX,53.78,no,no,1,no
1859,NM,77.45,no,no,3,yes
1860,WA,53.230000000000004,no,no,4,yes
1861,UT,58.86,no,no,2,no
1862,RI,38.67,no,no,3,no
1863,NC,45.800000000000004,no,yes,1,no
1864,RI,36.08,no,no,1,no
1865,NY,55.61,no,no,2,no
1866,DE,45.02,yes,yes,2,no
1867,MS,52.24999999999999,no,yes,1,no
1868,OH,62.339999999999996,no,yes,0,no
1869,WA,66.86,no,no,2,no
1870,WV,50.21000000000001,no,no,1,no
1871,NY,39.28,no,no,2,no
1872,NE,57.66,yes,yes,1,no
1873,PA,60.46,yes,no,4,yes
1874,MS,45.12,no,no,2,no
1875,IN,48.05,no,no,3,no
1876,VA,56.87,no,no,1,no
1877,MN,45.06,no,no,0,no
1878,DE,56.28,no,no,1,no
1879,OR,48.58,yes,no,3,no
1880,UT,75.06,no,no,0,yes
1881,CT,63.98,no,yes,4,no
1882,TX,71.58,no,no,0,yes
1883,CT,60.93,no,no,1,no
1884,AR,64.67,no,no,2,no
1885,MI,53.58,no,no,5,yes
1886,DE,60.32,no,no,3,no
1887,FL,56.78,no,no,2,no
1888,AK,55.6,no,yes,0,no
1889,ID,54.419999999999995,no,no,6,no
1890,OH,45.53,no,no,2,no
1891,NH,57.92,no,no,1,no
1892,MA,48.24999999999999,no,no,1,no
1893,SC,69.21,no,no,2,no
1894,OR,59.96,no,no,2,no
1895,OH,65.05,no,yes,2,no
1896,NC,58.349999999999994,yes,no,2,no
1897,KY,32.19,no,yes,3,no
1898,ID,41.519999999999996,no,no,0,no
1899,WA,51.32,no,no,1,no
1900,WV,61.080000000000005,no,no,2,no
1901,RI,58.75,no,yes,1,no
1902,KS,65.76,no,no,2,no
1903,NV,54.5,no,no,4,yes
1904,NE,71.11999999999999,no,no,1,yes
1905,FL,57.09,no,no,2,no
1906,WY,49.21000000000001,no,no,0,no
1907,WA,28.86,no,yes,1,no
1908,CO,60.13,no,no,2,no
1909,WI,49.949999999999996,no,no,2,no
1910,RI,56.17,no,yes,2,no
1911,MT,49.39,no,no,1,no
1912,CO,59.69,no,no,0,no
1913,CT,70.49000000000001,no,yes,5,no
1914,FL,38.03,no,no,3,no
1915,VT,66.67999999999999,no,no,1,no
1916,OH,51.80000000000001,no,no,1,no
1917,RI,39.599999999999994,yes,no,1,no
1918,FL,51.86,no,yes,1,no
1919,MD,44.47,no,no,0,no
1920,WY,60.14,no,no,1,no
1921,FL,65.15,no,yes,1,no
1922,TN,73.1,yes,no,1,yes
1923,NC,74.57000000000001,no,yes,3,no
1924,IN,76.62,yes,yes,1,no
1925,IA,69.56,no,no,4,no
1926,WV,33.5,no,yes,1,no
1927,UT,69.33,no,yes,1,no
1928,GA,59.89,no,no,3,no
1929,AK,78.82,no,yes,0,no
1930,MS,81.46,no,no,2,yes
1931,AR,50.709999999999994,no,yes,0,no
1932,AK,34.97,no,yes,0,no
1933,ME,56.190000000000005,no,no,1,no
1934,WV,55.43,no,no,2,no
1935,CT,49.019999999999996,no,no,2,no
1936,GA,68.33999999999999,no,yes,4,no
1937,NV,62.199999999999996,yes,no,0,no
1938,VT,54.0,no,no,3,no
1939,DC,54.28000000000001,no,no,0,no
1940,TN,63.339999999999996,no,no,1,no
1941,OR,45.69,no,no,1,no
1942,MS,56.57000000000001,no,yes,2,no
1943,CO,54.58,no,no,3,no
1944,AR,54.120000000000005,no,no,5,yes
1945,PA,50.16,no,no,2,no
1946,MN,52.56,no,no,1,no
1947,NM,51.68,no,yes,0,no
1948,UT,68.35,no,no,3,no
1949,MS,74.9,yes,yes,1,no
1950,NV,72.98,no,no,3,yes
1951,OR,61.67,no,no,0,no
1952,VA,46.559999999999995,no,no,2,no
1953,NJ,64.71000000000001,yes,yes,1,no
1954,WV,52.03,no,no,0,no
1955,OR,44.51,no,no,0,no
1956,KY,59.01,no,no,1,no
1957,MO,43.9,no,no,2,no
1958,FL,60.72,no,no,0,no
1959,WV,54.75000000000001,no,no,2,no
1960,DE,68.69,no,no,1,no
1961,MI,72.16,no,yes,3,no
1962,IL,57.989999999999995,no,no,1,no
1963,UT,59.78999999999999,yes,no,0,no
1964,IL,68.80000000000001,no,yes,3,no
1965,WA,60.04,no,no,1,no
1966,NM,55.47,no,no,0,no
1967,MD,64.81,no,no,3,no
1968,MT,51.260000000000005,no,no,2,no
1969,CT,46.82000000000001,yes,no,1,no
1970,AL,57.849999999999994,no,no,3,no
1971,MO,75.98,no,yes,3,no
1972,ND,47.89,no,no,1,no
1973,AR,65.19,no,no,1,no
1974,GA,73.92,no,yes,5,no
1975,FL,54.51,no,no,1,no
1976,LA,53.61,no,no,4,yes
1977,UT,77.04,no,no,2,yes
1978,AZ,64.30000000000001,no,no,0,no
1979,NY,48.04,no,no,6,yes
1980,IN,52.06,no,no,1,no
1981,FL,51.99,no,no,1,no
1982,NM,49.06,no,no,2,no
1983,AL,37.87,no,no,3,no
1984,MN,51.69,yes,no,3,yes
1985,NY,63.3,no,yes,1,no
1986,MD,66.14,no,no,4,no
1987,KS,48.489999999999995,no,no,2,no
1988,WV,41.22,no,no,1,no
1989,ID,57.92,no,yes,0,no
1990,MI,54.77,no,no,2,no
1991,TN,53.61,yes,no,1,yes
1992,CA,59.82000000000001,no,no,1,no
1993,FL,69.99,no,no,0,no
1994,LA,50.36,no,no,2,no
1995,IL,57.01,yes,yes,1,yes
1996,AL,72.64,no,yes,2,no
1997,PA,40.97,no,no,0,no
1998,TX,55.74,no,no,2,no
1999,VA,54.24,no,no,0,no
2000,MT,73.55,no,no,2,yes
2001,ND,69.49,no,no,2,no
2002,FL,83.28,no,no,2,yes
2003,KY,39.38,no,no,0,no
2004,MD,48.900000000000006,no,yes,1,no
2005,IN,62.019999999999996,no,no,2,no
2006,MA,36.09,no,no,3,no
2007,ND,65.04,no,no,3,no
2008,VT,45.06999999999999,no,no,0,no
2009,CT,57.65,no,yes,0,no
2010,VA,67.11,no,yes,1,no
2011,MS,46.81999999999999,no,yes,1,no
2012,AK,68.97,no,no,3,no
2013,WY,63.21,no,no,1,no
2014,NC,54.52,no,no,4,no
2015,IL,61.94,no,no,1,no
2016,OH,54.7,no,no,2,no
2017,RI,67.24,no,no,0,no
2018,WY,57.39,yes,no,0,no
2019,OR,38.620000000000005,no,no,2,no
2020,NV,78.02,no,no,1,yes
2021,OR,55.34,no,no,3,no
2022,ND,56.22,no,no,2,no
2023,NJ,60.37,no,no,9,yes
2024,WV,55.59,no,yes,1,no
2025,VA,44.22,no,no,0,no
2026,ID,49.72,no,yes,2,no
2027,CT,69.7,yes,no,0,no
2028,NM,68.71,no,no,0,no
2029,CT,57.93000000000001,yes,no,2,yes
2030,MI,53.48,no,yes,6,yes
2031,NY,59.22,no,no,0,no
2032,MT,53.35,no,yes,2,no
2033,NE,37.73,no,yes,0,no
2034,IN,57.04,no,no,3,no
2035,CO,63.86,no,no,4,no
2036,WY,61.739999999999995,yes,no,2,no
2037,OK,51.089999999999996,no,no,1,no
2038,SD,47.89,no,no,1,no
2039,SC,54.349999999999994,yes,yes,0,no
2040,NY,72.95,yes,no,1,yes
2041,NY,47.06999999999999,no,yes,5,yes
2042,WV,40.209999999999994,no,no,2,no
2043,WA,57.52,no,no,1,no
2044,ID,57.38,no,yes,1,yes
2045,MN,57.4,no,no,2,no
2046,TX,61.260000000000005,yes,yes,1,yes
2047,AZ,62.2,no,no,1,no
2048,DE,47.07,no,yes,2,no
2049,CO,42.13,no,no,0,no
2050,WI,57.91,no,no,1,no
2051,WI,76.83,no,no,1,yes
2052,NJ,63.709999999999994,no,no,0,no
2053,IL,39.79,yes,no,0,no
2054,DC,51.120000000000005,no,no,5,yes
2055,IA,56.239999999999995,no,no,2,no
2056,GA,39.160000000000004,no,no,2,no
2057,AK,60.61,no,no,0,no
2058,CO,52.99000000000001,no,no,4,yes
2059,SC,44.419999999999995,no,no,0,no
2060,MT,43.76,no,yes,1,no
2061,KY,43.12,no,yes,2,no
2062,WV,50.56999999999999,no,no,1,no
2063,ID,54.59,no,no,2,no
2064,MN,41.3,no,no,6,yes
2065,MA,68.77,no,yes,2,no
2066,MD,51.82,no,yes,0,no
2067,SD,54.400000000000006,no,yes,1,no
2068,PA,48.76,no,no,4,yes
2069,KY,62.629999999999995,no,no,2,no
2070,ID,38.01,no,no,0,no
2071,NM,62.08,no,no,1,no
2072,CA,54.269999999999996,no,yes,4,yes
2073,ID,62.760000000000005,no,no,2,no
2074,WY,53.150000000000006,no,no,1,no
2075,NM,58.510000000000005,no,no,0,no
2076,HI,52.55,no,yes,1,no
2077,ID,65.46000000000001,no,yes,3,no
2078,NC,38.61,no,no,0,no
2079,TX,74.19,no,yes,5,no
2080,GA,57.379999999999995,no,no,1,no
2081,AL,51.53,no,no,2,no
2082,ME,55.169999999999995,no,no,1,no
2083,VA,56.82,no,no,3,no
2084,ID,67.22999999999999,no,no,3,no
2085,NY,49.77,no,no,1,no
2086,OH,51.24,no,no,1,no
2087,HI,61.87,no,yes,1,no
2088,DC,47.66,no,no,1,no
2089,TN,45.5,no,no,1,no
2090,VT,64.12,no,no,4,no
2091,MD,58.06999999999999,no,yes,1,no
2092,HI,60.879999999999995,no,no,4,no
2093,FL,42.370000000000005,no,no,2,no
2094,WY,61.16,no,no,0,no
2095,NE,52.51,no,no,2,no
2096,WY,55.9,no,yes,2,no
2097,OR,36.65,no,yes,1,no
2098,IN,54.41,no,no,3,no
2099,MD,41.68,no,yes,0,no
2100,TN,56.33,yes,no,1,no
2101,WA,48.03,no,no,3,no
2102,MS,62.19,no,no,3,no
2103,IN,49.150000000000006,no,no,1,yes
2104,CO,57.76,no,yes,0,no
2105,TX,54.1,no,yes,0,no
2106,WV,50.099999999999994,no,no,1,no
2107,MA,63.209999999999994,no,no,1,no
2108,TN,77.78,no,yes,1,no
2109,DE,61.75,yes,no,3,no
2110,VA,58.53,no,no,1,no
2111,MT,65.05,no,no,2,no
2112,ID,63.41,no,yes,2,no
2113,IN,56.42,no,yes,0,no
2114,MD,74.32,no,yes,1,no
2115,MS,48.28,no,no,0,no
2116,OH,54.45,no,no,0,no
2117,RI,53.379999999999995,no,no,4,yes
2118,AZ,47.239999999999995,no,no,2,no
2119,SC,55.650000000000006,no,no,0,no
2120,KY,42.33,no,no,5,yes
2121,AL,63.72,no,yes,1,no
2122,MT,46.339999999999996,no,yes,1,no
2123,MN,32.33,no,yes,2,no
2124,NV,45.08,no,no,1,no
2125,CA,69.08,no,no,1,no
2126,UT,63.8,no,yes,1,no
2127,IL,51.769999999999996,no,no,0,no
2128,IN,59.550000000000004,no,no,2,no
2129,VT,65.01,no,no,1,no
2130,VT,47.3,no,no,0,no
2131,UT,53.71,no,yes,2,no
2132,KY,32.400000000000006,no,no,2,no
2133,VA,64.22,no,no,2,no
2134,OH,45.17,no,no,3,no
2135,AZ,49.41,no,yes,0,no
2136,NY,37.82,no,no,2,no
2137,VA,59.629999999999995,no,no,0,no
2138,MD,47.43,no,no,5,yes
2139,MA,47.65,no,yes,2,no
2140,IL,64.28,yes,no,0,no
2141,LA,53.92,no,no,2,no
2142,MO,46.059999999999995,no,no,2,no
2143,DC,52.220000000000006,no,yes,1,no
2144,PA,57.47,no,no,1,no
2145,TN,48.58,no,no,2,no
2146,NJ,47.480000000000004,no,no,3,no
2147,VA,69.36,no,no,1,no
2148,TN,62.339999999999996,no,no,0,no
2149,NJ,40.980000000000004,yes,no,0,yes
2150,WA,51.27,no,no,2,no
2151,WI,59.11,no,no,2,no
2152,ME,63.76,no,no,2,no
2153,CO,64.45,no,no,2,yes
2154,CO,45.56,no,no,1,no
2155,RI,40.64,no,no,2,yes
2156,CT,78.55,no,no,0,yes
2157,NC,60.23,no,no,3,no
2158,WY,48.730000000000004,no,no,1,no
2159,OR,70.47,yes,yes,3,yes
2160,FL,35.95,no,yes,1,no
2161,KY,45.53,no,no,2,no
2162,SC,74.91000000000001,no,no,1,yes
2163,WA,69.57,no,yes,1,no
2164,MT,50.86,no,no,3,no
2165,PA,50.1,no,no,0,no
2166,MA,56.18000000000001,no,no,2,no
2167,VT,53.63000000000001,no,no,2,no
2168,MN,54.5,no,yes,1,no
2169,AR,56.94,no,no,1,no
2170,NC,59.51,no,no,2,no
